Date / Time,Event / Task,Person(s) in Charge,Location,Notes / Items to Bring / Remarks
23 Oct 2025 (Thu),Arrive in Ipoh (Evening),Cherry & Samuel,—,Reach in evening
23 Oct 2025 (Thu),"Prepare remaining red packets (Jie Mei, Xiong Di)",Samuel,Groom’s Airbnb,Exchange for balance $700 + $200; keep in sling bag (from mother)
23 Oct 2025 (Thu),Collect 1st batch of red packets,Samuel,From DA GU,—
23 Oct 2025 (Thu),Final decoration of Cherry’s home (4 flower beds),Cherry & family,Bride’s home,—
23 Oct 2025 (Thu),Cycle count & remove door gifts from Toyogo bin (to use as cooler box for beers + drinks),Samuel & Cherry,Bride’s home,—
23 Oct 2025 (Thu),Prepare Tupperware to freeze ice cubes,Samuel,Bride’s home & Airbnb,For 24th dinner buffet
23 Oct 2025 (Thu),Go Restaurant to test,Samuel + LED Guy,Phongmun Restaurant,"Test LED Screen >> Capcut video + PPT slides + Wedding Opening video + Kahoot
Discuss walk-in aisle, remove table, Table stands/cards, lightings, deco"
23 Oct 2025 (Thu),Pack to bring to Airbnb (for 24th),Samuel & Cherry,—,"Things to prepare to bring over to airbnb on 24th 
a)        Big Glass cup x 2 
b)        Scratch Cards x 150 ea (reconfirm qty)
c)        Clear glass box with test tubes filled with sand 
d)        Registration counter items (Register book + table layout + laptop + Pens + Big red packet box)
e)        Groom’s Airbnb deco + tapes + scissors (Samuel’s fren to help deco)
f)        Groom’s Clothing, two brothers’ clothing & 8 paper fans (1 missing fan to buy from shopee)
g)        1 Set Red bedsheet bundle + Red pajamas
h)        Small and medium mineral water bottles & Sweet packet drinks to put in fridge for 25th lunch buffet"
23 Oct 2025 (Thu),Pack to bring to restaurant (for 24th),Samuel,—,"7.        Things to bring to restaurant on 24th night.
a)        Wedding Poster Stand 
b)        Door gift x 150 (to reconfirm qty)
c)        Restaurant drinks
d)        Thumbdrive (Capcut video + Wedding opening video + PPS) 
"
24 Oct (Fri) Morning,Meet deco team (Michelle) at restaurant,Cherry & Samuel,Phongmun Restaurant,Check deco setup
